var_abbr,low,high,roc,consec,interp
r_swd,0,1500,1500,180,24
t_air,-10,45,5,20,24
h_rh,25,100,20,20,24
pr_baro,900,1100,20,50,24
w_dir,0,360,360,10,1
w_spd,0.001,50,25,10,1
w_gust,0.001,80,40,10,1
pp_rain,0,300,200,999999,0
pr_dpt,0.5,150,150,999999,999999
t_wtr,4,35,10,50,1
c_do_sat,-10,300,80,50,1
c_do,-1,35,8,50,1
c_ph,3,14,10,50,1
c_phraw,0,1100,200,50,1
c_cond,10,1400,100,50,1
c_spcond,10,1400,100,50,1
c_orp,-1000,1000,200,50,1
n_turb,0.001,150,50,50,1
f_chl,0.001,500,40,50,1
f_phyc,0.001,450,38,50,1
TmpDif,-2,20,100,50,1
PCchla,-10,10,100,50,1
LvlWtr,0,1000,0.5,500,24
VBatLg,5,15,5,50,1
MtrAvg,-2.95,1.95,4,50,1
MtrMin,-2.95,1.95,4,50,1
MtrMax,-2.95,1.95,4,50,1
